users,tweet_count,location,bigrams
Ann Corcoran ðŸ‡ºðŸ‡¸,14,Maryland,"['amarillo', 'unbelievably', 'frank', 'description', 'refugee', 'overloaded', 'city']"
Tienga N,12,London,"['hell', 'frozen']"
RISE eX-detainees,8,Melbourne,"['rise', 'dominic', 'golding', 'explaining']"
CAPS,7,"Ventura, CA","['illegal', 'immigrant', 'offender', 'released', 'neighborhood']"
Mark Krikorian,7,"Washington, DC","['many', 'cuban', 'return', 'cheap', 'dental', 'work', 'santeria', 'ceremony', 'really', 'refugee']"
Labor 4 Refugees,5,Australia,"['refugee', 'action', 'coalition', 'medium', 'release', 'immigration']"
Kon Karapanagiotidis,5,"Australia, Wurundjeri Land","['desperate', 'immigration', 'minister', 'try', 'scapegoat', 'people', 'helping', 'refugee', 'human', 'right', 'advocate']"
DASSAN,4,Darwin,"['immigration', 'repeatedly', 'ignoring', 'allegation', 'sexual', 'harassment', 'lack', 'safety', 'woman']"
Charles Pewitt,4,NH,"['rand', 'paul', 'refugeesâ€“good', 'senator', 'worse']"
Jon Feere,4,"Washington, D.C. via NorCal","['uscis', 'official', 'percent', 'syrian refugee', 'application', 'approved']"
